C E N Á R I O S;ITENS DECLARADOS PELO EMITENTE DA DPS;;;;;;"CONCEITO DE 
COMÉRCIO EXTERIOR 
(Exportação)
PARA 
EMISSÃO DE NFS-e";;"COMPORTAMENTO DO SISTEMA APÓS A VALIDAÇÃO DOS 
ITENS DECLARADOS PELO EMITENTE DA DPS";;;;
;LOCAIS;;;"SUBITEM
DA LISTA";RESPOSTA DO EMITENTE PARA A TRIBUTAÇÃO DO ISSQN (TribISSQN);;;;EXIBE MENSAGEM DE ERRO OU AVISO?;"LOCAL DE
INCIDÊNCIA";"INFORMAÇÕES ESPECÍFICAS 
RELATIVAS A COMEX";;
;"Endereço
Tomador";"Endereço
Intermediário";"Local da
Prestação do
Serviço (LP)";"Qual seria o local de Incidência
do ISSQN conforme subitem da lista de serviço informado";"O serviço prestado é um caso de: imunidade, exportação de serviço ou 
não incidência 
do ISSQN?";"Tributação do ISSQN
";ISSQN;RFB;;Para cada cenário define a existência ou não e qual o município de incidência?;"Para cada cenário, o preenchimento das seguintes informações deve ser:

OBRIGATÓRIO (SIM)
NÃO PERMITIDO (NÃO)
OPCIONAL (Opcional)
 CENÁRIO INEXISTENTE (X)

Obs: Nos cenários inexistentes os campos NBS, País Resultado (Exportação) e Grupo Comex não serão validados pois o sistema retorna a mensagem de erro correspondente.";;
;;;;;;;"EXPORTAÇÃO
Local da Prestação
no Exterior";AO MENOS 1 DOS 3 LOCAIS NO EXTERIOR;;;;;
;;;;;;;"É exportação
para o ISSQN?";"É exportação
para a RFB?";;;NBS;"País Resultado
(Exportação)";"Grupo
Comex"
1;Brasil;Brasil;Brasil;EP;Sim;Imunidade;-;NÃO;-;-;Opcional;NÃO;NÃO
2;Brasil;Brasil;Brasil;EP;Sim;Exportação de Serviço;NÃO;NÃO;-;-;SIM;SIM;SIM
3;Brasil;Brasil;Brasil;EP;Sim;Não Incidência;-;NÃO;MENSAGEM ERRO 3;X;X;X;X
4;Brasil;Brasil;Brasil;EP;Não;Operação Tributável;NÃO;NÃO;-;Município do EP;Opcional;NÃO;NÃO
5;Brasil;Brasil;Brasil;ET;Sim;Imunidade;-;NÃO;-;-;Opcional;NÃO;NÃO
6;Brasil;Brasil;Brasil;ET;Sim;Exportação de Serviço;NÃO;NÃO;MENSAGEM ERRO 1;X;X;X;X
7;Brasil;Brasil;Brasil;ET;Sim;Não Incidência;-;NÃO;MENSAGEM ERRO 3;X;X;X;X
8;Brasil;Brasil;Brasil;ET;Não;Operação Tributável;NÃO;NÃO;-;Município do ET;Opcional;NÃO;NÃO
9;Brasil;Brasil;Brasil;LP;Sim;Imunidade;-;NÃO;-;-;Opcional;NÃO;NÃO
10;Brasil;Brasil;Brasil;LP;Sim;Exportação de Serviço;NÃO;NÃO;MENSAGEM ERRO 1;X;X;X;X
11;Brasil;Brasil;Brasil;LP;Sim;Não Incidência;-;NÃO;MENSAGEM ERRO 3;X;X;X;X
12;Brasil;Brasil;Brasil;LP;Não;Operação Tributável;NÃO;NÃO;-;Município do LP;Opcional;NÃO;NÃO
