LISTA NACIONAL DE SERVIÇOS;;DETERMINAÇÃO DA LOCALIDADE DE INCIDÊNCIA (LI) DE ACORDO COM A LC 116/03;;;;GRUPOS DE INFORMAÇÕES PARA DETALHAMENTO DO SERVIÇO;
CÓDIGO DE TRIBUTAÇÃO NACIONAL;"DESCRIÇÃO DO DESDOBRO NACIONAL
DA LISTA DE SERVIÇO ANEXA
À LC 116/2003";REGRAS DE INCIDÊNCIA DO ISSQN NO SISTEMA NACIONAL NFS-e;;;;"OBRIGATORIEDADE DOS GRUPOS DE INFORMAÇÕES ESPECÍFICAS 
PARA CADA SUBITEM DA LISTA DE DE SERVIÇO

Conforme leiaute DPS
obra
atvEvento

Obs: O grupo de informações para Comércio Exterior (comExt) 
é definido conforme planilha 
EXPORTACAO_EMISSÃO_NFS-e";"INFORMAÇÕES COMPLEMENTARES

Conforme leiaute DPS

infoComplem"
;;"LI para os serviços indicados seguem as regras geral de EP e as exceções para LP e ET.

* Com exceção do subitem 200101 da lista nacional de serviços, 
todos os demais serviços podem ser prestados em ""Águas Marítimas"" 
(cLocPrestacao = 0000000). Neste caso o LI será EDP. 

** Caso o emitente informe o subitem 200101, 
o LP não poderá ser ""Águas Marítimas"" e o LI será o município informado em LP. 

(Art 3º, § 3º da LC 116/03).";;;"IMPORTAÇÃO 


Emitente  = T | I

País Exterior P 
e/ou
País Exterior LP

A incidência do ISSQN em casos de Importação de serviço prevalece sobre as regras do Art 3º da LC 116/03";;
;;"* Estabelecimento / 
Domicílio do Prestador 
(EP)";"Local da Prestação
(LP)";"Estabelecimeto / 
Domicílio do Tomador 
(ET)";"Estabelecimento / 
Domicílio do Emitente (EDEmit)

LI = EDEmit (T|I)";;
010101;Análise e desenvolvimento de sistemas.;X;-;-;X;-;X
010201;Programação.;X;-;-;X;-;X
010301;Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres.;X;-;-;X;-;X
010302;Armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres.;X;-;-;X;-;X
010401;Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres.;X;-;-;X;-;X
010501;Licenciamento ou cessão de direito de uso de programas de computação.;X;-;-;X;-;X
010601;Assessoria e consultoria em informática.;X;-;-;X;-;X
010701;Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.;X;-;-;X;-;X
010801;Planejamento, confecção, manutenção e atualização de páginas eletrônicas.;X;-;-;X;-;X
010901;Disponibilização, sem cessão definitiva, de conteúdos de áudio por meio da internet (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS).;X;-;-;X;-;X
010902;Disponibilização, sem cessão definitiva, de conteúdos de vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS).;X;-;-;X;-;X
020101;Serviços de pesquisas e desenvolvimento de qualquer natureza.;X;-;-;X;-;X
030201;Cessão de direito de uso de marcas e de sinais de propaganda.;X;-;-;X;-;X
030301;Exploração de salões de festas, centro de convenções, stands e congêneres, para realização de eventos ou negócios de qualquer natureza.;X;-;-;X;-;X
030302;Exploração de escritórios virtuais e congêneres, para realização de eventos ou negócios de qualquer natureza.;X;-;-;X;-;X
030303;Exploração de quadras esportivas, estádios, ginásios, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza.;X;-;-;X;-;X
